accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,missing_cells,mechanism
0.9726666666666667,0.5833333333333334,0.6862745098039216,0.6306306306306306,0.5539678434041079,1424,25,16,35,0.2,118,1476,MCAR-style synthetic
0.9706666666666667,0.5636363636363636,0.6078431372549019,0.5849056603773585,0.6365833697170792,1425,24,20,31,0.2,119,1515,MCAR-style synthetic
0.968,0.5263157894736842,0.5882352941176471,0.5555555555555556,0.5183564784144326,1422,27,21,30,0.2,120,1511,MCAR-style synthetic
0.9726666666666667,0.5892857142857143,0.6470588235294118,0.616822429906542,0.6200728387360267,1426,23,18,33,0.2,121,1541,MCAR-style synthetic
0.9733333333333334,0.5964912280701754,0.6666666666666666,0.6296296296296297,0.6203696299642549,1426,23,17,34,0.2,122,1485,MCAR-style synthetic
0.9746666666666667,0.6226415094339622,0.6470588235294118,0.6346153846153846,0.6473530316310055,1429,20,18,33,0.2,123,1513,MCAR-style synthetic
0.9726666666666667,0.5862068965517241,0.6666666666666666,0.6238532110091743,0.6325369089466409,1425,24,17,34,0.2,124,1495,MCAR-style synthetic
0.9673333333333334,0.5161290322580645,0.6274509803921569,0.5663716814159292,0.5113999984347924,1419,30,19,32,0.2,125,1552,MCAR-style synthetic
0.9673333333333334,0.5172413793103449,0.5882352941176471,0.5504587155963303,0.5022090480257322,1421,28,21,30,0.2,126,1524,MCAR-style synthetic
0.9693333333333334,0.5490196078431373,0.5490196078431373,0.5490196078431373,0.5024001346973608,1426,23,23,28,0.2,127,1485,MCAR-style synthetic
0.9693333333333334,0.5396825396825397,0.6666666666666666,0.5964912280701754,0.5394391658906725,1420,29,17,34,0.2,128,1491,MCAR-style synthetic
0.9706666666666667,0.559322033898305,0.6470588235294118,0.6,0.5867135144137646,1423,26,18,33,0.2,129,1492,MCAR-style synthetic
0.968,0.5306122448979592,0.5098039215686274,0.52,0.477744398052028,1426,23,25,26,0.3,100,2212,MCAR-style synthetic
0.9726666666666667,0.6136363636363636,0.5294117647058824,0.5684210526315789,0.5255981969467767,1432,17,24,27,0.3,101,2263,MCAR-style synthetic
