accuracy,precision,recall,f1,average_precision,tn,fp,fn,tp,severity,seed,scale_source
0.9506666666666667,0.367816091954023,0.6274509803921569,0.463768115942029,0.4776393843876519,1394,55,19,32,0.2,104,training standard deviation
0.9573333333333334,0.42857142857142855,0.7647058823529411,0.5492957746478874,0.5866494121397463,1397,52,12,39,0.2,105,training standard deviation
0.9573333333333334,0.42857142857142855,0.7647058823529411,0.5492957746478874,0.556878049398653,1397,52,12,39,0.2,106,training standard deviation
0.9593333333333334,0.4431818181818182,0.7647058823529411,0.5611510791366906,0.7028780742721823,1400,49,12,39,0.2,107,training standard deviation
0.958,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.6551135205504017,1398,51,12,39,0.2,108,training standard deviation
0.954,0.40217391304347827,0.7254901960784313,0.5174825174825175,0.5393286358809506,1394,55,14,37,0.2,109,training standard deviation
0.9566666666666667,0.42391304347826086,0.7647058823529411,0.5454545454545454,0.6179164352922553,1396,53,12,39,0.2,110,training standard deviation
0.9606666666666667,0.45454545454545453,0.7843137254901961,0.5755395683453237,0.5746515186651893,1401,48,11,40,0.2,111,training standard deviation
0.9573333333333334,0.42528735632183906,0.7254901960784313,0.5362318840579711,0.5610399931313257,1399,50,14,37,0.2,112,training standard deviation
0.9473333333333334,0.36,0.7058823529411765,0.4768211920529801,0.5765482633048714,1385,64,15,36,0.2,113,training standard deviation
0.952,0.38202247191011235,0.6666666666666666,0.4857142857142857,0.4879078297468737,1394,55,17,34,0.2,114,training standard deviation
0.9546666666666667,0.41237113402061853,0.7843137254901961,0.5405405405405406,0.5328669108715638,1392,57,11,40,0.2,115,training standard deviation
0.9493333333333334,0.3711340206185567,0.7058823529411765,0.4864864864864865,0.48137638418401496,1388,61,15,36,0.2,116,training standard deviation
0.9466666666666667,0.3564356435643564,0.7058823529411765,0.47368421052631576,0.6261395739816625,1384,65,15,36,0.2,117,training standard deviation
0.9533333333333334,0.38823529411764707,0.6470588235294118,0.4852941176470588,0.5413340222617673,1397,52,18,33,0.2,118,training standard deviation
0.9506666666666667,0.37894736842105264,0.7058823529411765,0.4931506849315068,0.5639125292507471,1390,59,15,36,0.2,119,training standard deviation
0.95,0.38235294117647056,0.7647058823529411,0.5098039215686274,0.5351743920030254,1386,63,12,39,0.2,120,training standard deviation
0.946,0.3469387755102041,0.6666666666666666,0.4563758389261745,0.47952111125821334,1385,64,17,34,0.2,121,training standard deviation
0.956,0.41379310344827586,0.7058823529411765,0.5217391304347826,0.585204801526076,1398,51,15,36,0.2,122,training standard deviation
0.9506666666666667,0.38613861386138615,0.7647058823529411,0.5131578947368421,0.5757563572849866,1387,62,12,39,0.2,123,training standard deviation
0.9546666666666667,0.4065934065934066,0.7254901960784313,0.5211267605633803,0.6224445319593783,1395,54,14,37,0.2,124,training standard deviation
0.962,0.4605263157894737,0.6862745098039216,0.5511811023622047,0.647894529385113,1408,41,16,35,0.2,125,training standard deviation
0.952,0.3870967741935484,0.7058823529411765,0.5,0.5154471592145492,1392,57,15,36,0.2,126,training standard deviation
0.9486666666666667,0.3673469387755102,0.7058823529411765,0.48322147651006714,0.5410181922146804,1387,62,15,36,0.2,127,training standard deviation
0.9466666666666667,0.34065934065934067,0.6078431372549019,0.43661971830985913,0.4742963840402,1389,60,20,31,0.2,128,training standard deviation
0.9486666666666667,0.358695652173913,0.6470588235294118,0.46153846153846156,0.5459061708409423,1390,59,18,33,0.2,129,training standard deviation
0.9326666666666666,0.28448275862068967,0.6470588235294118,0.39520958083832336,0.39637648598308295,1366,83,18,33,0.3,100,training standard deviation
0.9346666666666666,0.28440366972477066,0.6078431372549019,0.3875,0.4693230858464697,1371,78,20,31,0.3,101,training standard deviation
0.9386666666666666,0.3153153153153153,0.6862745098039216,0.43209876543209874,0.5285422696319729,1373,76,16,35,0.3,102,training standard deviation
0.9353333333333333,0.27884615384615385,0.5686274509803921,0.3741935483870968,0.4038432513715868,1374,75,22,29,0.3,103,training standard deviation
0.9373333333333334,0.29523809523809524,0.6078431372549019,0.3974358974358974,0.42179580189632754,1375,74,20,31,0.3,104,training standard deviation
0.942,0.3333333333333333,0.7058823529411765,0.4528301886792453,0.4717224331301404,1377,72,15,36,0.3,105,training standard deviation
0.94,0.3274336283185841,0.7254901960784313,0.45121951219512196,0.4379245987020009,1373,76,14,37,0.3,106,training standard deviation
0.9453333333333334,0.34951456310679613,0.7058823529411765,0.4675324675324675,0.5334924371877761,1382,67,15,36,0.3,107,training standard deviation
0.95,0.38,0.7450980392156863,0.5033112582781457,0.5809530861450856,1387,62,13,38,0.3,108,training standard deviation
0.938,0.3090909090909091,0.6666666666666666,0.422360248447205,0.412259427062977,1373,76,17,34,0.3,109,training standard deviation
0.94,0.33043478260869563,0.7450980392156863,0.4578313253012048,0.48851857203568283,1372,77,13,38,0.3,110,training standard deviation
0.9473333333333334,0.36538461538461536,0.7450980392156863,0.49032258064516127,0.5223510739092316,1383,66,13,38,0.3,111,training standard deviation
0.942,0.3333333333333333,0.7058823529411765,0.4528301886792453,0.4433450111075318,1377,72,15,36,0.3,112,training standard deviation
0.9353333333333333,0.30833333333333335,0.7254901960784313,0.4327485380116959,0.5178535565436314,1366,83,14,37,0.3,113,training standard deviation
0.9366666666666666,0.2962962962962963,0.6274509803921569,0.4025157232704403,0.4048311443424143,1373,76,19,32,0.3,114,training standard deviation
0.9413333333333334,0.32710280373831774,0.6862745098039216,0.4430379746835443,0.43443722785636263,1377,72,16,35,0.3,115,training standard deviation
0.9346666666666666,0.2920353982300885,0.6470588235294118,0.4024390243902439,0.38368733549164113,1369,80,18,33,0.3,116,training standard deviation
0.9346666666666666,0.3025210084033613,0.7058823529411765,0.4235294117647059,0.49849653060396737,1366,83,15,36,0.3,117,training standard deviation
0.9353333333333333,0.2982456140350877,0.6666666666666666,0.4121212121212121,0.46728232079543475,1369,80,17,34,0.3,118,training standard deviation
0.932,0.2892561983471074,0.6862745098039216,0.4069767441860465,0.4630507683711803,1363,86,16,35,0.3,119,training standard deviation
0.9353333333333333,0.30833333333333335,0.7254901960784313,0.4327485380116959,0.4247413581171744,1366,83,14,37,0.3,120,training standard deviation
0.9313333333333333,0.2719298245614035,0.6078431372549019,0.37575757575757573,0.4165676695086744,1366,83,20,31,0.3,121,training standard deviation
0.9413333333333334,0.32710280373831774,0.6862745098039216,0.4430379746835443,0.46802426016950877,1377,72,16,35,0.3,122,training standard deviation
0.9433333333333334,0.3482142857142857,0.7647058823529411,0.4785276073619632,0.4956059233998701,1376,73,12,39,0.3,123,training standard deviation
